bank_name,txn_id,amount,hour,day_of_week,is_weekend,device_risk_score,location_risk_score,user_behavior_score,outcome
KOTAK SAVINGS,TXN4404572,6266.0,18,6,1,0.05808361216819946,0.8661761457749352,0.6011150117432088,1
KOTAK SAVINGS,TXN-3444769,0.0,11,1,0,0.5247564316322378,0.43194501864211576,0.2912291401980419,0
HDFC SAVINGS,TXN4821339,65726.0,14,5,1,0.19967378215835974,0.5142344384136116,0.5924145688620425,1
ICICI CURRENT,TXN5599720,10628.0,13,1,0,0.3854165025399161,0.015966252220214194,0.230893825622149,1
AXIS SAVINGS,TXN5097895,80078.0,16,3,0,0.18223608778806233,0.7553614103176525,0.4251558744912447,1
AXIS SAVINGS,TXN3684702,71212.0,1,1,0,0.8948273504276488,0.5978999788110851,0.9218742350231168,1
AXIS SAVINGS,TXN4874183,24301.0,17,6,1,0.8287375091519293,0.3567533266935893,0.28093450968738076,1
SBI SAVINGS,TXN5273036,40775.0,8,0,0,0.1987156815341724,0.005522117123602399,0.8154614284548342,1
ICICI CURRENT,TXN2209818,26855.0,8,3,0,0.8631034258755935,0.6232981268275579,0.3308980248526492,1
KOTAK SAVINGS,TXN3702279,70593.0,2,4,0,0.9717120953891037,0.8489138242660839,0.7217295211648732,1
ICICI CURRENT,TXN7658158,23420.0,12,2,0,0.03142918568673425,0.6364104112637804,0.3143559810763267,1
KOTAK SAVINGS,TXN1073548,33828.0,12,6,1,0.289751452913768,0.16122128725400442,0.9296976523425731,1
SBI SAVING,TXN8406461,18048.0,22,3,0,0.3562978380769749,0.906828441545754,0.2721322493846353,0
SBI SAVINGS,TXN5922184,58054.0,7,2,0,0.417411003148779,0.22210781047073025,0.1198653673336828,1
ICICI CURRENT,TXN6509907,46577.0,19,3,0,0.25178229582536416,0.49724850589238545,0.30087830981676966,1
SBI SAVINGS,TXN325281,855.0,4,0,0,0.6343513447013638,0.6807054515547668,0.5309345833171364,1
AXIS SAVINGS,TXN7203230,52084.0,1,5,1,0.39882444244455306,0.8164318732193839,0.7983451249845511,1
ICICI CURRENT,TXN7455740,2812.0,3,2,0,0.7111495324380178,0.8095010461397154,0.3486659872917294,1
SBI SAVINGS,TXN171295,11112.0,0,2,0,0.3410663510502585,0.11347352124058907,0.9246936182785628,1
ICICI CURR,TXN3604473,500000.0,16,1,0,0.9962536997579243,0.9654193512887936,0.5582934536070976,0
SBI SAVING,TXN4992306,66691.0,19,5,1,0.7798755458576239,0.6420316461542878,0.08413996499504883,0
AXIS SAVINGS,TXN5206799,82019.0,17,5,1,0.5487337893665861,0.6918951976926933,0.6519612595026005,1
